typer	name	role1	role2	toc
general	General	Canteen owner	Customer	Complaining about the insanitization
general	General	Car wash operator	Customer	Asking for prices
general	General	Car wash operator	Customer	Home service
general	General	Car wash operator	Customer	Simple cleaning/detailing.
general	General	Car wash operator	Customer	Type of the vehicle.
general	General	Car wash operator	Customer	Complaining about the wash.
general	General	Carpenter	Customer	Carpenter asked to make a bed to order
general	General	Carpenter	Customer	Modular kitchen order
general	General	Carpenter	Customer	Customer enquiring to sell antique chairs
general	General	Carpenter	Customer	Buying readymade furniture
general	General	Carpenter	Customer	Customer discussing cupboard options with carpenter
general	General	Celebrity	Fan	Discussing the celebrity's career and personal life
general	General	Chef	Food Critic	Discussing a meal and restaurant
general	General	Chef	Food Critic	Reviewing a restaurant meal
general	General	Chiropractor	Person with chronic back pain	Discussing chronic pain management and spinal health
general	General	Coach	Athlete	Discussing training and performance
general	General	Computer repair shop owner	Customer	Cost of repairing a broken screen.
general	General	Computer repair shop owner	Customer	Upgradation of system
general	General	Computer repair shop owner	Customer	Installation of software
general	General	Computer repair shop owner	Customer	Diagnosing a software related problem
general	General	Computer repair shop owner	Customer	Repairing hardwares
general	General	Computer Technician	Computer user	Discussing technical issues and solutions
general	General	Conductor	passenger	Conductor issuing ticket
general	General	Conductor	passenger	Bus break down
general	General	Conductor	passenger	Stop for lunch
general	General	Conductor	passenger	Passenger gets on the wrong bus
general	General	Conductor	passenger	Passenger requests seat change
general	General	Construction Worker	Project Manager	Discussing a construction project and timelines
general	General	Counsellor	Client	Marriage counsellor Asking client about the problem
general	General	Counsellor	Client	Mental health counsellor Asking client about the problem
general	General	Counsellor	Client	Fees
general	General	Counsellor	Client	Enquiring about the therapy sessions
general	General	Counsellor	Client	How many session required for a certain problem
general	General	Counsellor	Client	Does this counselling help people
general	General	Counsellor	Client	Confidentiality
general	General	Counselor	Client	Dealing with stress and anxiety
general	General	Counselor	Client	Discussing mental health and coping strategies
general	General	Customer	Salesperson	Buying a new car
general	General	Delivery Person	Customer	Returning the package
general	General	Delivery Person	Customer	Complaining about the preopened package
general	General	Delivery Person	Customer	Asking for the reason behind delayed delivery
general	General	Delivery Person	Customer	Cash on Delivery
general	General	Delivery Person	Customer	Thanking for the service
general	General	Dental Hygienist	Patient	Discussing dental health and hygiene
general	General	Dermatologist	Patient	Discussing skin health and treatment options
general	General	Doctor	Patient	Discussing a medical condition
general	General	Driving school instructor	Customer	Customer comes to ask about driving license procedure
general	General	Driving school instructor	Customer	Customer asks about availability of female teacher only
general	General	Driving school instructor	Customer	Customer asks about possibility of extra lessons
general	General	Driving school instructor	Customer	Instructor reviews skills with student
general	General	Driving school instructor	Customer	Instructor compares Indian driving tests to other places
general	General	Economist	Business Owner	Discussing market trends
general	General	Electrical/Electronics shop salesperson	Customer	Electric fitting of a new house
general	General	Electrical/Electronics shop salesperson	Customer	Discussing about wire quality
general	General	Electrical/Electronics shop salesperson	Customer	Bargaining on some household electrical items
general	General	Electrical/Electronics shop salesperson	Customer	Buying a TV
general	General	Electrical/Electronics shop salesperson	Customer	Asking about warranty and return policies
general	General	Electrician	Customer	Electrician summoned to fix a light
general	General	Electrician	Customer	Electrician asked to fix earthing of house
general	General	Electrician	Customer	Customer calls electrician to fix water motor
general	General	Electrician	Customer	Stabilisers for fridge and washing machine
general	General	Electrician	Customer	Customer calls electrician to change fuse
general	General	Environmental Engineer	Industrialist	Discussing environmental impacts and regulations
general	General	Environmentalist	Politician	Discussing environmental policies and legislation
general	General	Event manager	Customer	Inquiring about various services offered
general	General	Event manager	Customer	Inquiring about the event safety
general	General	Event manager	Customer	Discussing about cancellation and refund policies
general	General	Event manager	Customer	Providing a positive feedback for an event organized
general	General	Event manager	Customer	Providing a negative feedback for an event organized
general	General	Event Planner	Client	Discussing an event and its logistics
general	General	Event Planner	Client	Discussing an event theme and decorations
general	General	Factory/Workshop owner	Customer	Plastic basket weave bag making factory
general	General	Factory/Workshop owner	Customer	T–shirt making workshop
general	General	Factory/Workshop owner	Customer	Coconut oil making
general	General	Factory/Workshop owner	Customer	Soap making factory
general	General	Factory/Workshop owner	Customer	Chocolate workshop
general	General	Farm labour	landowner	Cost of cleaning
general	General	Farm labour	landowner	Cost of planting and harvesting
general	General	Farm labour	landowner	Tools and equipments.
general	General	Farm labour	landowner	Lunch facilities
general	General	Farm labour	landowner	Complaining about the work
general	General	Farmer	Agri shop salesperson	Asking for fertilizers
general	General	Farmer	Agri shop salesperson	Asking for hybrid seeds.
general	General	Farmer	Agri shop salesperson	Organic pesticides
general	General	Farmer	Agri shop salesperson	Asking about different machineries.
general	General	Farmer	Agri shop salesperson	Complaining about some products
general	General	Financial Advisor	Client	Discussing investment and retirement planning
general	General	Florist	Wedding planner	Discussing flower arrangements and wedding details
general	General	Flower Vendor	Customer	Place an order for wedding decor
general	General	Flower Vendor	Customer	Seeking flower recommendations based on the season
general	General	Flower Vendor	Customer	Discussing about the portfolios and design style
general	General	Flower Vendor	Customer	Inquiring about the payment and logistics
general	General	Flower Vendor	Customer	Inquiring about various packages
general	General	Footwear seller	Customer	Asking to show different types of footwears.
general	General	Footwear seller	Customer	Discussing about the prices of different types of footwears.
general	General	Footwear seller	Customer	Complaining
general	General	Footwear seller	Customer	Asking about the reason of higher pricing
general	General	Footwear seller	Customer	Discussing about the availability of a particular footwear type.
general	General	Furniture Shop owner	Customer	What do you want to buy?
general	General	Furniture Shop owner	Customer	What is your budget?
general	General	Furniture Shop owner	Customer	What kind of material do you want?
general	General	Furniture Shop owner	Customer	Price
general	General	Furniture Shop owner	Customer	Exchange policy
general	General	Furniture Shop owner	Customer	Refurbishing old furniture
general	General	Furniture Shop owner	Customer	Asking if they have any smart furniture
general	General	Garage owner	Customer	Asking to diagnose a problem
general	General	Garage owner	Customer	Cost of body repair
general	General	Garage owner	Customer	Basic servicing
general	General	Garage owner	Customer	Modification
general	General	Garage owner	Customer	Repairing rather than replacing
general	General	Gardner	Customer	Inquiring about turning the balcony space into a garden
general	General	Gardner	Customer	Inquiring about various indoor plants
general	General	Gardner	Customer	Discussing on whether the decorative stones are really necessary?
general	General	Gardner	Customer	Inquiring about various healing plants for outdoor
general	General	Gardner	Customer	Inquiring about the best plants for pots
general	General	Gas cylinder delivery person	Customer	Complaining about the increase in price
general	General	Gas cylinder delivery person	Customer	Asking for the delivery timing
general	General	Gas cylinder delivery person	Customer	Delivery charge
general	General	Gas cylinder delivery person	Customer	Complaining about the weight
general	General	Gas cylinder delivery person	Customer	Asking for offers
general	General	Government officer	Customer	Seeking information on documents required for passport of minor
general	General	Government officer	Customer	Inquiring about how to issue the caste certificate in the village Panchayat office
general	General	Government officer	Customer	Complaining about the bad quality of water to an employee in the water authority
general	General	Government officer	Customer	Seeking information the regarding availability of Covid–19 vaccine in the nearest govt.hospital
general	General	Government officer	Customer	Seeking information regarding documents required for issuing the degree from the university
general	General	Graphic Designer	Client	Discussing a design project and branding
general	General	Graphic Designer	Client	Discussing a logo design
general	General	Grocery shop billing assistant	Customer	Issues related to bill
general	General	Grocery shop billing assistant	Customer	Late payment
general	General	Grocery shop billing assistant	Customer	Discounts and cashbacks
general	General	Grocery shop billing assistant	Customer	Exchange and return
general	General	Grocery shop billing assistant	Customer	Asking for payment methods and change
general	General	Grocery shop salesperson	Customer	Asking for a particular skincare product
general	General	Grocery shop salesperson	Customer	Asking about different varieties of Rice
general	General	Grocery shop salesperson	Customer	Complaining
general	General	Grocery shop salesperson	Customer	Casual conversation with a regularCustomer
general	General	Grocery shop salesperson	Customer	Unavailability of product
general	General	Hair stylist	Customer	Inquiring about different style–packages for any occassion
general	General	Hair stylist	Customer	Booking an appointment with the nearest hair stylist for keretin treatment
general	General	Hair stylist	Customer	Asking about the availabity of the stylist on a particular day.
general	General	Hair stylist	Customer	Giving a positive feedback for the hair cut/color previously done
general	General	Hair stylist	Customer	Informing theCustomer about the prerequisites
general	General	Handicraft worker	Customer	Interested in buying a particular item
general	General	Handicraft worker	Customer	Asking to make some custom–made decorative items
general	General	Handicraft worker	Customer	Price of various items
general	General	Handicraft worker	Customer	Bulk ordering brass/copper dining ware for a new restaurant
general	General	Handicraft worker	Customer	Giving feedback/review
general	General	Health Center manager/supervisor	Patient	Inquing about the availability of AB–ve blood
general	General	Health Center manager/supervisor	Patient	Complaining about the poor medical care
general	General	Health Center manager/supervisor	Patient	Inquiring about the Mediwell insurance coverage
general	General	Health Center manager/supervisor	Patient	Inquiring about various facilities in the hospital
general	General	Health Center manager/supervisor	Patient	Complaining about the unnecessary additional charges
general	General	Healthcare worker	Patient	Pregnant woman with doctor's assistant
general	General	Healthcare worker	Patient	Nurse hired for elderly care
general	General	Healthcare worker	Patient	Aasha worker visiting house
general	General	Healthcare worker	Patient	Covid vaccination centre
general	General	Healthcare worker	Patient	Dentist–patient conversation
general	General	Historian	Museum curator	Discussing historical artifacts and exhibitions
general	General	Historian	Student	Discussing a historical event
general	General	Hotel Manager	Guest	Discussing a hotel stay and amenities
general	General	Hotel staff	Visitor	Cannot open the door
general	General	Hotel staff	Visitor	Calling for room service
general	General	Hotel staff	Visitor	Calling for laundry
general	General	Hotel staff	Visitor	ordering food
general	General	Hotel staff	Visitor	cannot connect to the wifi
general	General	Hotel staff	Visitor	Insect/animal in the room
general	General	Hotel staff	Visitor	something is not working
general	General	House broker	Client	What kind of home are you looking for?
general	General	House broker	Client	In which location you want it?
general	General	House broker	Client	Looking for rent only
general	General	House broker	Client	renting for business
general	General	House broker	Client	Looking to buy a property
general	General	House broker	Client	What kind of additional features are you looking for?
general	General	House broker	Client	Brokerage fees
general	General	Housecook	Employer	What to cook tonight?
general	General	Housecook	Employer	Cooking for a special event.
general	General	Housecook	Employer	Cooking according to a diet plan
general	General	Housecook	Employer	Complaining about the food
general	General	Housecook	Employer	Price and availability
general	General	Housekeeping person	employer	Time management instructions
general	General	Housekeeping person	employer	Cleaning instructions
general	General	Housekeeping person	employer	Salary discussion.
general	General	Housekeeping person	employer	Discussing complaints that employer received fromCustomer.
general	General	Housekeeping person	employer	Rewards and promotion
general	General	Housemaid/Nanny	house owner	Assigning the domestic help his/her work
general	General	Housemaid/Nanny	house owner	Asking can the nanny work extra time tomorrow
general	General	Housemaid/Nanny	house owner	Complaining about the work
general	General	Housemaid/Nanny	house owner	Telling the nanny what to do during emergency
general	General	Housemaid/Nanny	house owner	Negotiating payment
general	General	HR	Candidate	Resignation
general	General	HR	Candidate	Work experience
general	General	HR	Candidate	Salary discussion
general	General	HR	Candidate	Soft skills
general	General	HR	Candidate	Guidelines
general	General	Insurance agent	Customer	Life insurance
general	General	Insurance agent	Customer	Car insurance
general	General	Insurance agent	Customer	Health insurance
general	General	Insurance agent	Customer	Travel insurance
general	General	Insurance agent	Customer	Property insurance
general	General	Insurance Agent	Policyholder	Discussing coverage and claims
general	General	Insurance Agent	Policyholder	Reviewing coverage options
general	General	Interior Designer	Homeowner	Discussing a home renovation project
general	General	Interior Designer	Homeowner	Discussing home design and renovations
general	General	Interior Designer/architect	Customer	Architect being hired to build house
general	General	Interior Designer/architect	Customer	Architect checking stability of old building
general	General	Interior Designer/architect	Customer	Architect discussing plans for office space with CEO
general	General	Interior Designer/architect	Customer	Renovation of old house discussion
general	General	Interior Designer/architect	Customer	Customer approaching architect for a 'builder floor'
general	General	Interviewer	Job Applicant	Discussing the applicant's qualifications and experience
general	General	Interviewer	Job Candidate	Applying for a job
general	General	Jeweller	Customer	What do you want to buy?
general	General	Jeweller	Customer	Budget
general	General	Jeweller	Customer	Ordering custom–designed jewellery
general	General	Jeweller	Customer	What material do you want?
general	General	Jeweller	Customer	For what occasion do you want to buy?
general	General	Jeweller	Customer	Asking for authenticity certificate
general	General	Journalist	Source	Interviewing for a news story
general	General	Landlord	Tenant	Discussing a rental property or lease agreement
general	General	Landlord	Tenant	Negotiating a lease agreement
general	General	Landscape Architect	Homeowner	Discussing garden design and outdoor spaces
general	General	Landscape Designer	Homeowner	Discussing a garden design
general	General	Landscaper	Homeowner	Discussing a landscaping project and design
general	General	Laundryman	Customer	What kind of clothes
general	General	Laundryman	Customer	What kind of cleaning do you need?
general	General	Laundryman	Customer	How long will it take?
general	General	Laundryman	Customer	Why is it taking so long?
general	General	Laundryman	Customer	Price
general	General	Laundryman	Customer	Some item are missing
general	General	Law Enforcement Officer	Citizen	Discussing community
general	General	Lawyer	Client	Discussing a legal case or problem
general	General	Lawyer	Client	Discussing a legal issue
general	General	Librarian	Library patron	Discussing books and library resources
general	General	Librarian	Library Patron	Recommending a book
general	General	Librarian	Reader	Inquiring about a specific book
general	General	Librarian	Reader	Complaining about the improper arrangement of books
general	General	Librarian	Reader	Inquiring about fine for late submission of books
general	General	Librarian	Reader	Seeking information regarding books related to a particular subject
general	General	Librarian	Reader	Seeking guidance on how to place a request for a book
general	General	Loan executive	Customer	Home loan
general	General	Loan executive	Customer	Personal loan
general	General	Loan executive	Customer	Education loan
general	General	Loan executive	Customer	Defaulting on instalment
general	General	Loan executive	Customer	Small business loan
general	General	Makeup Artist	Model	Discussing makeup looks and photoshoots
general	General	Manager	Employee	Discussing work performance and goals
general	General	Manager	Employee	Performance review
general	General	Mason	Customer	Tiling of old bathroom
general	General	Mason	Customer	Building a small storage room on rooftop
general	General	Mason	Customer	Building compound wall
general	General	Mason	Customer	Inserting a door in a wall to join two flats
general	General	Mason	Customer	Job of access to a water pipe within a wall
general	General	Meat shop	Customer	Placing a bulk order for mutton/chicken
general	General	Meat shop	Customer	Complaining about the quality of meat received
general	General	Meat shop	Customer	Ordering fish from a meat brand shop
general	General	Meat shop	Customer	Inquiring about the home delivery services
general	General	Meat shop	Customer	Seeking information regarding the quality of meat
general	General	Mechanic	Car Owner	Discussing car repair options
general	General	Mechanic	Car Owner	Discussing car troubles and repair options
general	General	Mechanic (A/C, Fridge)	Customer	Fridge making a noise
general	General	Mechanic (A/C, Fridge)	Customer	Fridge not cooling properly
general	General	Mechanic (A/C, Fridge)	Customer	Fridge doesn't work on inverter as per claim
general	General	Mechanic (A/C, Fridge)	Customer	Fridge freezer accumulates too much ice
general	General	Mechanic (A/C, Fridge)	Customer	Fridge mechanic recommends different model
general	General	Media professional	Locals	Asking what happened
general	General	Media professional	Locals	Asking for direction
general	General	Media professional	Locals	Asking for the locals' opinion on the matter
general	General	Media professional	Locals	Reason for the incident
general	General	Media professional	Locals	What is the current status of the incident
general	General	Mental Health Counselor	Teenager	Discussing adolescent development and mental health issues
general	General	Meteorologist	News Anchor	Discussing weather forecasts and reports
general	General	Milk vendor	Customer	Complaining about the quality of milk
general	General	Milk vendor	Customer	Inquiring about the availability of milk
general	General	Milk vendor	Customer	Asking about the reasons for price hike
general	General	Milk vendor	Customer	Placing a bulk order for milk for an occasion
general	General	Milk vendor	Customer	Inform about discontinuing the purchasing of milk due to personal reasons
general	General	Mobile shop person	Customer	Availability of a new One Plus phone
general	General	Mobile shop person	Customer	Complaining about a recently bought phone.
general	General	Mobile shop person	Customer	Availability of exclusive online models.
general	General	Mobile shop person	Customer	Good phone under 10k.
general	General	Mobile shop person	Customer	Price and discounts and emi options
general	General	Musician	Music critic	Discussing a performance and review
general	General	Musician	Music producer	Discussing a recording and album release
general	General	Musician	Music Producer	Discussing a recording project
general	General	Naturopath	Patient	Discussing holistic health and natural remedies
general	General	Newspaper boy	Customer	Telling him to deliver newspaper from tomorrow
general	General	Newspaper boy	Customer	Asking if he has extra newspaper
general	General	Newspaper boy	Customer	Asking if he delivers weekly/monthly magazines as well
general	General	Newspaper boy	Customer	Monthly bill
general	General	Newspaper boy	Customer	Complaining
general	General	Nurse	Patient	Inquiring about the health condition of the patient
general	General	Nurse	Patient	Expressing concern over a sudden sharp pain in the chest
general	General	Nurse	Patient	Informing the patient about the Uterus Ultrasound
general	General	Nurse	Patient	Informing the patient about the food restrictions
general	General	Nurse	Patient	Informing about the health progress of the patient
general	General	Nutritionist	Athlete	Discussing sports nutrition and performance
general	General	Nutritionist	Diabetic	Discussing diabetes management and nutrition
general	General	Nutritionist	Patient	Discussing diet and health goals
general	General	Nutritionist	Person with digestive issues	Discussing gut health and dietary needs
general	General	Nutritionist	Vegan	Discussing plant-based diets and nutrition
general	General	Office admin	Employee	College teacher (employee) requesting payslips
general	General	Office admin	Employee	Employee complaint about boss to HR
general	General	Office admin	Employee	Salary negotiation between new employee and HR
general	General	Office admin	Employee	Sick leave discussion between admin and employee
general	General	Office admin	Employee	HR interview round for teacher at University
general	General	Opticals owner	Customer	Inquiring about a particular frame
general	General	Opticals owner	Customer	Inquiring about any available discounts for the products
general	General	Opticals owner	Customer	Buying sunglasses
general	General	Opticals owner	Customer	Complaining about the quality of the spectacle received
general	General	Opticals owner	Customer	Informing about the featuteres of the lens
general	General	Optometrist	Patient	Discussing vision and eyewear needs
general	General	Painter	Customer	House exterior painting job discussion
general	General	Painter	Customer	Flat interior painting job discussion
general	General	Painter	Customer	Special decorative wall options
general	General	Painter	Customer	Discussion of colour options
general	General	Painter	Customer	Rusted window grills paint job
general	General	Parent	Child	Discussing a problem or decision
general	General	Parent	Child	Setting household rules
general	General	Patient	Doctor	Discussing a medical condition and treatment options
general	General	Pediatrician	Parent	Discussing child development and health concerns
general	General	Personal Chef	Client	Discussing meal planning and dietary preferences
general	General	Personal Shopper	Client	Choosing an outfit
general	General	Personal Trainer	Client	Setting fitness goals
general	General	Personal Trainer	Gym member	Discussing fitness goals and workouts
general	General	Personal Trainer	Vegetarian	Discussing vegetarianism and fitness goals
general	General	Pet Groomer	Pet Owner	Discussing grooming options
general	General	Petrol pump employee	Customer	Customer asks directions while filling petrol
general	General	Petrol pump employee	Customer	Customer asks to use toilet
general	General	Petrol pump employee	Customer	Customer asks employee if he will take a photo
general	General	Petrol pump employee	Customer	Petrol pump employee warnsCustomer of price hike
general	General	Petrol pump employee	Customer	Customer asks for nearest mechanic
general	General	Pharmacist	Patient	Discussing medication and health concerns
general	General	Pharmacy salesperson	Customer	Availability of a particular medicine
general	General	Pharmacy salesperson	Customer	Asking for doctor's prescription
general	General	Pharmacy salesperson	Customer	Availability of Ayurvedic meds
general	General	Pharmacy salesperson	Customer	Availability of some rare medicines
general	General	Pharmacy salesperson	Customer	Closing time and day
general	General	Photo studio	Customer	Customer for passport size photos
general	General	Photo studio	Customer	Booking photographer for event
general	General	Photo studio	Customer	Photographer on wedding video
general	General	Photo studio	Customer	Customer for engagement coverage
general	General	Photo studio	Customer	Photographer discussing modeling withCustomer
general	General	Photocopier shop owner	Customer	Customer order to copy and bind
general	General	Photocopier shop owner	Customer	Colour xerox for child's project
general	General	Photocopier shop owner	Customer	Poster printing order
general	General	Photocopier shop owner	Customer	Customer unhappy with errors in copying and binding
general	General	Photocopier shop owner	Customer	Discussion of price
general	General	Photographer	Customer	Asking for wedding/pre–wedding shoot
general	General	Photographer	Customer	Pre–wedding shoot
general	General	Photographer	Customer	Complaining about final product not being ready
general	General	Photographer	Customer	Telling about the budget and Asking what to expect within that budget
general	General	Photographer	Customer	Telling the cameraman what to shoot
general	General	Photographer	Model	Discussing a photoshoot theme
general	General	Physical Therapist	Elderly patient	Discussing aging and mobility issues
general	General	Pilot	Air Traffic Controller	Discussing a flight plan and clearance
general	General	Plumber	Customer	Plumber called to fix leaking tap
general	General	Plumber	Customer	Plumber checks leakage from toilet
general	General	Plumber	Customer	Plumber gives estimate for changing drainage pipes
general	General	Plumber	Customer	Discussing unfinished pipe job and timeline of work
general	General	Plumber	Customer	Appointment/Price negotiations betweenCustomer and plumber
general	General	Plumber	Homeowner	Discussing plumbing problems and repairs
general	General	Police	Complainent	Informing about a theft in the neighbourhood
general	General	Police	Complainent	Complaining about an eve– teasing experience
general	General	Police	Complainent	Lodging a complaint for a missing bag
general	General	Police	Complainent	Informing about going on a long holiday
general	General	Police	Complainent	Informing about frequent threats received online
general	General	Politician	Constituent	Discussing a community issue
general	General	Postman/courier office helper	Customer	Inquiring about a delayed delivery/Checking status
general	General	Postman/courier office helper	Customer	Informing about a change in the delivery address
general	General	Postman/courier office helper	Customer	Inquiring about the return policy of a delivery
general	General	Postman/courier office helper	Customer	Complaining about the irresponsive attitude of the delivery agent
general	General	Postman/courier office helper	Customer	Complaining about the careless handling of a fragile product
general	General	Preist	Others	Seeking information about baptism for your child
general	General	Preist	Others	Inquiring about Grah–Shanti pooja to be conducted in your home
general	General	Preist	Others	Discussing about why is Confession so important?
general	General	Preist	Others	Explaing how to offer prayer in Dargah to a non–muslim
general	General	Preist	Others	Conducting Annadaanam on your parents' anniversary
general	General	Psychologist	Client	Discussing a mental health issue
general	General	Psychologist	Couple	Discussing relationship issues and therapy
general	General	Psychologist	Patient	Discussing mental health and therapy
general	General	Psychologist	Person with depression	Discussing depression treatment and self-care
general	General	Publicist	Celebrity	Discussing a media campaign
general	General	Real Estate Agent	Home Buyer	Touring a house
general	General	Real Estate Agent	Homebuyer	Discussing properties and offers
general	General	Receptionist	Customer	Inquiring about the avalability of rooms in XYZ resort
general	General	Receptionist	Customer	Seeking information regarding various healthcare packages
general	General	Receptionist	Customer	Inquiring about Skin treatment at AB beauty salon
general	General	Receptionist	Customer	Complaining about the uncomfortable stay at any hotel
general	General	Receptionist	Customer	Providing positive feedback for the services at a hotel
general	General	Religious Leader	Parishioner	Discussing a spiritual matter
general	General	Restaurant Manager	Server	Discussing customer service and the dining experience
general	General	Salesperson	Customer	Discussing a product or service
general	General	Scientist	Science journalist	Discussing a research study and its findings
general	General	Screenwriter	Director	Discussing a film script
general	General	Security	visitor	Visitor arrives with only name and no flat number
general	General	Security	visitor	Security interacts with newly appointed maid
general	General	Security	visitor	Swiggy delivery man interacts with security
general	General	Security	visitor	Visitor asking about emplty flats for rent
general	General	Security	visitor	Security returns umbrella left behind by visitor
general	General	Service station attendants (Petrol pumps)	Customer	How much petrol needed
general	General	Service station attendants (Petrol pumps)	Customer	Asking if they provide in bottle
general	General	Service station attendants (Petrol pumps)	Customer	Asking if they accept card/UPI payment
general	General	Service station attendants (Petrol pumps)	Customer	Complaining about water in oil
general	General	Service station attendants (Petrol pumps)	Customer	Complaining about giving less oil
general	General	Share market adviser	Investor	Inquiring about different sectors to invest in stock market
general	General	Share market adviser	Investor	Discussing about various reasons for a share market fall
general	General	Share market adviser	Investor	Discussing about the need for Demat account
general	General	Share market adviser	Investor	Inquiring about various benefits in investing on share markets
general	General	Share market adviser	Investor	Inquiring about Securities and Exchange Board of India
general	General	Shop helper	Customer	Clothing shop conversation
general	General	Shop helper	Customer	Old man asking help in a grocery shop
general	General	Shop helper	Customer	Helper in mobile phone shop
general	General	Shop helper	Customer	Assistant in electronics shop
general	General	Shop helper	Customer	Footwear shop helper
general	General	Shopkeeper	Customer	Customer Complaining to shopkeeper
general	General	Shopkeeper	Customer	Availability of exotic fruits
general	General	Shopkeeper	Customer	Bargaining
general	General	Shopkeeper	Customer	Types of fruits
general	General	Shopkeeper	Shopkeeper	Conversation between two shopkeepers
general	General	Social Worker	Client	Discussing a social issue
general	General	Social Worker	Client	Discussing social services and support
general	General	Social Worker	Elderly client	Discussing aging-related challenges and support services
general	General	Software Developer	User	Discussing a software program and its features
general	General	Software engineer	Supervisor	Introducing new member to the team
general	General	Software engineer	Supervisor	Poor performance of an employee
general	General	Software engineer	Supervisor	Breifing on a new project
general	General	Software engineer	Supervisor	Transfer to another city
general	General	Software engineer	Supervisor	Raise and Promotion
